Message,Message_Token,Message_Tagged,Hatespeech_Level,Hatespeech,Sentiment,hatx,Emotion
"ผู้ว่าฯสมุทรสาคร ได้แถลงพบติดเชื้อโควิด-19 เพิ่มอีก 3 ราย รวมเป็น 7 คน เร่งเช็คไทม์ไลน์ . จากกรณี พบหญิงไทยวัย 67 ปี เจ้าของแพกุ้ง ใน จ.สมุทสาคร ติดเชื้อโควิด-19 สามารถยืนยันเชื้อได้ เมื่อวันที่ 17 ธันวาคม ที่ผ่านมา . ตอนนี้ได้ตรวจเชื้อ โควิด-19 ลูกชายกับเพื่อนลูกชาย ผลออกมา ไม่พบติดเชื้อ ส่วนการตรวจเชื้อผู้ใกล้ชิดอีก 5 ราย พบว่า พี่สาว,มารดา,น้องสะใภ้ ของหญิงวัย 67 ปี พบติดเชื้อโควิด-19 . และล่าสุด ราว 19.30 น. ของวันนี้ (18 ธ.ค.) นายวีระศักดิ์ วิจิตร์แสงศรี ผู้ว่าราชการจังหวัดสมุทรสาคร แถลงพบผู้ติดเชื้อโควิด-19 อีก 3 ราย คือ ลูกจ้างชายชาวพม่า อายุ 40 ปี เสมียนวัย 24 ปี พ่อค้าขายกุ้งในตลาดกลาง อายุ 42 ปี ทางจังหวัดกำลังตรวจสอบไทม์ไลน์ . . #กรุงเทพธุรกิจ #กรุงเทพธุรกิจออนไลน์ ------------------------------- ติดตาม กรุงเทพธุรกิจ ผ่านช่องทางต่างๆ ได้ที่ Line: https://line.me/R/ti/p/%40rvb8351i Twitter: https://twitter.com/ktnewsonline Website : http://www.bangkokbiznews.com Youtube: https://www.youtube.com/user/KrungthepTurakij Blockdit : https://www.blockdit.com/bangkokbiznews Instagram: https://www.instagram.com/bangkokbiznews Tiktok : https://www.tiktok.com/@bangkokbiznews Soundcloud: https://soundcloud.com/njqvvip1pkff Spotify: https://open.spotify.com/show/7ugjo1HAyJ7aU4VEuuX7vs",ผู้ว่าฯ|สมุทรสาคร| |ได้|แถลง|พบ|ติดเชื้อ|โค|วิด| |เพิ่มอีก| |ราย| |รวมเป็น|คน |เร่ง|เช็ค|ไทม์ไลน์|จากกรณีพบหญิง|ไทย|วัย| |ปี|เจ้าของแพ|กุ้ง| |ใน|จสมุ|ท|สาคร| |ติดเชื้อ|โค|วิด| |สามารถ|ยืนยัน|เชื้อ|ได้|เมื่อวันที่| |ธันวาคม| |ที่ผ่านมา|ตอนนี้ได้|ตรวจ|เชื้อ| |โค|วิด|ลูกชายกับเพื่อน|ลูกชาย|ผลออกมา| |ไม่พบ|ติดเชื้อ|ส่วนการตรวจ|เชื้อ|ผู้|ใกล้ชิด|อีก| |ราย|พบว่า |พี่สาว|มารดา|น้อง|สะใภ้| |ของ|หญิง|วัย| |ปี|พบติดเชื้อ|โค|วิด|และล่าสุด| |ราว| |น| |ของ|วันนี้|นายวีระศักดิ์| |วิจิตร|์|แสง|ศรี| |ผู้ว่าราช|การจังหวัด|สมุทรสาคร| |แถลง|พบผู้|ติดเชื้อ|โค|วิด| |อีก| |ราย|คือ |ลูกจ้าง|ชาย|ชาวพม่า|อายุ |ปี| |เส|มี|ย|น|วัย| |ปี|พ่อค้าขาย|กุ้ง|ในตลาด|กลาง|อายุ |ปี| |ทางจังหวัด|กําลัง|ตรวจสอบ|ไทม์ไลน์| |กรุงเทพ|ธุรกิจ| |กรุงเทพ|ธุรกิจ|ออนไลน์| |ติดตาม| |กรุงเทพ|ธุรกิจ| |ผ่าน|ช่องทาง|ต่างๆ| |ได้|ที่| |%,,0,Nonhatespeech,Positive,,Others
ใครแอ่บหนีออกมายิงแม่งทิ้งครับ ทำไมคนไทยทั้งประเทศต้องมารับผิดชอบกับพม่าเหียนี้ครับคนได้ผลประโยชน์จากมันไม่กี่ตัว,ใครแอ|่|บ|หนี|ออกมา|ยิง|แม่ง|ทิ้ง|ครับ|ทําไมคนไทย|ทั้งประเทศ|ต้องมา|รับผิดชอบ|กับ|พม่า|เห|ีย|นี้|ครับ|คน|ได้|ผลประโยชน์|จาก|มัน|ไม่กี่|ตัว,ใคร|#แอบ|#หนี|ออกมา|#ยิง|#แม่ง|#ทิ้ง|ครับ|ทําไมคนไทย|ทั้งประเทศ|ต้องมา|#รับผิดชอบ|กับ|#พม่า|#เหี้ย|นี้|ครับ|คน|ได้|#ผลประโยชน์|จาก|มัน|ไม่กี่|ตัว,-2,Hatespeech,Negative,ใคร #แอบ #หนี ออกมา #ยิง #แม่ง #ทิ้ง ครับ ทําไมคนไทย ทั้งประเทศ ต้องมา #รับผิดชอบ กับ #พม่า #เหี้ย นี้ ครับ คน ได้ #ผลประโยชน์ จาก มัน ไม่กี่ ตัว,Anger
ประเทศไทยปิดกิจการปิดโรงเรียนปิดโรงงาน สงสารคนไทยบ้างใหม เอาโรคมาทำไม ช่วงนี้เป็นช่วงโควิดก็รู้อยู่ คนต่างด้าวไม่ควรมา ไม่มีใครรังเกียจหรอกแต่กลัวโควิด เข้าใจน่ะ พม่ามาทำคนไทยเป็นโรคเยอะขนาดนี้ สำนึกผิดบ้างใหม่,ประเทศไทย|ปิดกิจการ|ปิด|โรงเรียน|ปิด|โรงงาน|สงสารคนไทย|บ้าง|ใหม|เอาโรค|มา|ทําไม|ช่วงนี้เป็นช่วง|โค|วิด|ก็รู้|อยู่| |คนต่างด้าว|ไม่ควร|มา|ไม่มีใครรังเกียจ|หรอก|แต่|กลัว|โค|วิด| |เข้าใจ|น่ะ| |พม่า|มาทํา|คนไทย|เป็นโรค|เยอะ|ขนาดนี้| |สํานึกผิด|บ้าง|ใหม่,ประเทศไทย|ปิดกิจการ|ปิด|โรงเรียน|ปิด|โรงงาน|สงสารคนไทย|บ้าง|ใหม|เอาโรค|มา|ทําไม|ช่วงนี้เป็นช่วง|โค|วิด|ก็รู้|อยู่| |คนต่างด้าว|ไม่ควร|มา|ไม่มีใครรังเกียจ|หรอก|แต่|กลัว|โค|วิด| |เข้าใจ|น่ะ| |พม่า|มาทํา|คนไทย|เป็นโรค|เยอะ|ขนาดนี้| |สํานึกผิด|บ้าง|ใหม่,-1,Hatespeech,Negative,ประเทศไทย ปิดกิจการ ปิด โรงเรียน ปิด โรงงาน สงสารคนไทย บ้าง ใหม เอาโรค มา ทําไม ช่วงนี้เป็นช่วง โค วิด ก็รู้ อยู่   คนต่างด้าว ไม่ควร มา ไม่มีใครรังเกียจ หรอก แต่ กลัว โค วิด   เข้าใจ น่ะ   พม่า มาทํา คนไทย เป็นโรค เยอะ ขนาดนี้   สํานึกผิด บ้าง ใหม่,disagreeable
ขอโทษแทนคนไทยบางส่วนที่อาจจะไม่ทันได้คิดเนื่องจากความกลัวโรคโควิด19 หรือกลัวความผิดบางอย่าง ที่ได้แสดงออก ทางการกระทำหรือคำพูด ทางสายตา หรืออะไรก็แล้วแต่ กับพี่น้องชาวพม่า และ พี่น้องประเทศเพื่อนบ้านไทยด้วยนะครับ ส่วนตัวแล้วผมมีเพื่อนมีลูกน้องที่มาจากพม่า ลาว หรือ เขมร หลายคน ทุกคนเป็นเพือนที่ดี เป็นลูกน้องที่ดีครับ ขอให้ทุกแลดูแลตัวเอง และรับผิดชอบตัวเองในสถาการณ์โรคติดต่อแบบนี้ เป็นกำลังใจให้ทั้งพี่น้องประเทศเพื่อนบ้านและพี่น้องคนไทยทุกคน หากใครมีลูกจ้าง หรือเพื่อนที่มาจากพื้นที่เสี่ยงทางที่ดีที่สุดคือ ให้ไปตรวจหาเชื้อ และ กักตัวเองให้ครบกำหนด ขอความกรุณาอย่าทอดทิ้งหรือลอยแพ ให้คิดถึงตอนที่เค้าได้ช่วยเหลือทำงานให้กับเรา ถึงเค้าจะทำงานแลกเงิน แต่เราจะรู้สึกได้ว่าเค้าทำเต็มที่และเต็มกำลัง เราจะผ่านมันไปด้วยกันครับ สู้ๆครับ,ขอโทษแทน|คนไทย|บางส่วน|ที่อาจจะ|ไม่ทัน|ได้|คิด|เนื่องจาก|ความกลัว|โรค|โค|วิด| |หรือ|กลัว|ความผิด|บางอย่าง| |ที่ได้|แสดงออก| |ทาง|การกระทํา|หรือ|คําพูด| |ทาง|สายตา| |หรืออะไร|ก็แล้วแต่| |กับ|พี่น้อง|ชาวพม่า|และ |พี่น้อง|ประเทศ|เพื่อนบ้าน|ไทย|ด้วยนะครับ|ส่วนตัวแล้ว|ผม|มีเพื่อน|มี|ลูกน้อง|ที่มาจาก|พม่า| |ลาว| |หรือ| |เขมร|หลายคนทุกคนเป็น|เพือ|น|ที่ดี| |เป็น|ลูกน้อง|ที่|ดีครับ|ขอให้ทุก|แล|ดูแลตัวเอง|และรับผิดชอบ|ตัวเอง|ใน|สถ|า|การณ์|โรคติดต่อ|แบบนี้| |เป็น|กําลังใจ|ให้|ทั้ง|พี่น้อง|ประเทศ|เพื่อนบ้าน|และ|พี่น้อง|คนไทยทุกคน|หากใครมี|ลูกจ้าง| |หรือ|เพื่อน|ที่มาจาก|พื้นที่|เสี่ยง|ทาง|ที่ดี|ที่สุดคือ| |ให้ไป|ตรวจหา|เชื้อ|และ |กัก|ตัวเอง|ให้|ครบกําหนด| |ขอความกรุณ|า|อย่า|ทอดทิ้ง|หรือ|ลอย|แพ| |ให้|คิดถึง|ตอนที่|เค้า|ได้|ช่วยเหลือ|ทํางานให้|กับเรา| |ถึง|เค้าจะ|ทํางาน|แลก|เงิน|แต่เราจะรู้สึก|ได้ว่า|เค้าทํา|เต็มที่|และ|เต็ม|กําลัง|เราจะผ่าน|มัน|ไปด้วยกัน|ครับ| |สู้ๆครับ,,1,Nonhatespeech,Neutral,,trust
ยิงมันทิ้งให้หมดไอ้พวกหนีออกจากพื้นที่เนี่ย มึงจะหนีออกแพร่เชื้อสร้างความเดือดร้อนให้คนอื่นทำไมไอ้พม่าเลว,ยิง|มัน|ทิ้ง|ให้หมด|ไอ้พวก|หนีออกจาก|พื้นที่|เนี่ย| |มึงจะ|หนี|ออก|แพร่|เชื้อ|สร้างความ|เดือดร้อน|ให้คนอื่น|ทําไม|ไอ้|พม่า|เลว,#ยิง|#มัน|#ทิ้ง|#ให้หมด|#ไอ้พวก|#หนีออกจาก|#พื้นที่|เนี่ย| |#มึงจะ|#หนี|#ออก|#แพร่|#เชื้อ|#สร้างความ|#เดือดร้อน|ให้คนอื่น|#ทําไม|#ไอ้|#พม่า|#เลว,-2,Hatespeech,Negative,#ยิง #มัน #ทิ้ง #ให้หมด #ไอ้พวก #หนีออกจาก #พื้นที่ เนี่ย   #มึงจะ #หนี #ออก #แพร่ #เชื้อ #สร้างความ #เดือดร้อน ให้คนอื่น #ทําไม #ไอ้ #พม่า #เลว,Anger
ไอ้ที่เห็นติดเป็นพันนั้นมันแรงงานต่างด้าวทั้งนั้นคนไทยนับได้มีแค่ไม่ถึงร้อย ต้องล็อคดาวน์ชายแดนให้หนักทุกจุดแต่ถ้าไม่เด็ดขาดมันก็ลักลอบเข้ามาอยู่ดีจะใช้ความรุนแรงก็ว่าเกินไปทำเหมือนเกาหลีทำคือเข้าใกล้เขตแดนยิงทิ้งอย่างเดียว และต้องส่งเรื่องไปหารัฐบาลพม่าให้เขาดูแลประชากรเขาอย่าให้หนีเข้ามาไม่งันจะหาว่าเรารุนแรงไม่ได้ถ้าทไปได้นะ,ไอ้ที่เห็น|ติด|เป็น|พัน|นั้น|มัน|แรงงาน|ต่างด้าว|ทั้งนั้น|คนไทย|นับ|ได้|มีแค่|ไม่ถึง|ร้อย|ต้องล็อค|ดาวน์|ชายแดน|ให้|หนัก|ทุก|จุด|แต่ถ้า|ไม่|เด็ดขาด|มันก็|ลักลอบ|เข้ามา|อยู่ดี|จะใช้|ความรุนแรง|ก็|ว่า|เกินไป|ทําเหมือน|เกาหลี|ทํา|คือ|เข้าใกล้|เขตแดน|ยิง|ทิ้ง|อย่างเดียว|และต้อง|ส่งเรื่อง|ไปหา|รัฐบาลพม่า|ให้เขา|ดูแล|ประชากร|เขา|อย่าให้|หนี|เข้ามา|ไม่|งัน|จะหา|ว่าเรา|รุนแรง|ไม่ได้|ถ้า|ท|ไปได้|นะ,ไอ้ที่เห็น|ติด|เป็น|พัน|นั้น|มัน|แรงงาน|ต่างด้าว|ทั้งนั้น|คนไทย|นับ|ได้|มีแค่|ไม่ถึง|ร้อย|ต้องล็อค|ดาวน์|ชายแดน|ให้|หนัก|ทุก|จุด|แต่ถ้า|ไม่|เด็ดขาด|มันก็|ลักลอบ|เข้ามา|อยู่ดี|จะใช้|ความรุนแรง|ก็|ว่า|เกินไป|ทําเหมือน|เกาหลี|ทํา|คือ|เข้าใกล้|เขตแดน|#ยิง|#ทิ้ง|#อย่างเดียว|และต้อง|ส่งเรื่อง|ไปหา|รัฐบาลพม่า|ให้เขา|ดูแล|ประชากร|เขา|อย่าให้|หนี|เข้ามา|ไม่|งัน|จะหา|ว่าเรา|รุนแรง|ไม่ได้|ถ้า|ท|ไปได้|นะ,-2,Hatespeech,Negative,ไอ้ที่เห็น ติด เป็น พัน นั้น มัน แรงงาน ต่างด้าว ทั้งนั้น คนไทย นับ ได้ มีแค่ ไม่ถึง ร้อย ต้องล็อค ดาวน์ ชายแดน ให้ หนัก ทุก จุด แต่ถ้า ไม่ เด็ดขาด มันก็ ลักลอบ เข้ามา อยู่ดี จะใช้ ความรุนแรง ก็ ว่า เกินไป ทําเหมือน เกาหลี ทํา คือ เข้าใกล้ เขตแดน #ยิง #ทิ้ง #อย่างเดียว และต้อง ส่งเรื่อง ไปหา รัฐบาลพม่า ให้เขา ดูแล ประชากร เขา อย่าให้ หนี เข้ามา ไม่ งัน จะหา ว่าเรา รุนแรง ไม่ได้ ถ้า ท ไปได้ นะ,Anger
ธรรพ์ รำพันเพลงไพร เห็นใจเจ้าหน้าที่ที่ออกตรวจนอกพื้นที่นะแต่คิดว่าถ้าให้แรงงานพม่าไปตรวจกันเองคงจะไปกันส่วนน้อยมากๆ ทางที่ดีเจ้าของโรงงานที่มีแรงงานพม่าต้องพาเข้ารับการตรวจเลยคะ,ธร|รพ|์| |รํา|พัน|เพลง|ไพร| |เห็นใจ|เจ้าหน้า|ที่|ที่|ออก|ตรวจ|นอกพื้นที่|นะ|แต่|คิดว่าถ้า|ให้|แรงงาน|พม่า|ไปตรวจ|กันเอง|คงจะ|ไปกัน|ส่วนน้อย|มากๆ| |ทาง|ที่ดี|เจ้าของ|โรงงาน|ที่มี|แรงงาน|พม่า|ต้อง|พ|า|เข้ารับการ|ตรวจ|เลยคะ,,1,Nonhatespeech,Neutral,,trust
เป็นกำลังใจให้ชาวพม่าทุกคนและเป็นกำลังให้คนไทยทุกคนเราจะสู้ไปด้วยกันเหมือนที่ผ่านมาสู้ๆนะค่ะประเทศไทย,เป็น|กําลังใจ|ให้|ชาวพม่า|ทุกคน|และ|เป็นกําลัง|ให้|คนไทยทุกคน|เราจะ|สู้|ไปด้วยกัน|เหมือน|ที่ผ่านมา|สู้ๆนะ|ค่ะ|ประเทศไทย,,1,Nonhatespeech,Neutral,,trust
วันใหม่ 'ม ศึกครานี้ช่างใหญ่หลวงนัก... **ท่านออกญา(สาธารณสุข) ช่างดูแคลนข้าศึก ปล่อยให้พม่ารามัญ มันรุกมาถึงเมืองหน้าด่านสมุทรสาคร คาดไม่เกินชั่วเคี้ยวหมากแหลก คงประชิดชาญพระนครเป็นแน่แท้ พ.ศ. 2112 เสียกรุงครั้งที่ 1 พระเจ้าบุเรงนองตีกรุงศรีอยุธยาแตก พ.ศ. 2310 เสียกรุงครั้งที่ 2 กรุงศรีอยุธยาแตกโดนพม่าเผาเมือง พ.ศ. 2563 เพลานี้ชั่วเคี้ยวหมากแหลก พม่ารามัญตีป้อมมหาชัยแตกด้วยโควิค (พบแล้ว 548 ราย) เพราะมีคนไทยบางคนทรยศต่อชาติเปิดประตูต้อนรับให้พวกพม่ารามัญยกทัพตราศึกเข้าพระราชอาณาจักรอย่างผิดกฏหมายโดยมิผ่านการตรวจคัดกรอง เพราะเห็นแค่อัฐและเบี้ยมากกว่าสยามประเทศ พวกเจ้าทั้งหลายจงเตรียมเจล แอลกอฮอล์ สเปรย์ หน้ากากอนามัยให้ทันท่วงที เพื่อรับศึกใหญ่ที่กำลังจะมาในไม่ช้านี้ #อย่าลืมใส่หน้ากากอนามัยก่อนออกไปจากบ้านกันนะครับ,วัน|ใหม่| |ม| |ศึก|คร|า|นี้|ช่าง|ใหญ่หลวง|นัก|ท่านออก|ญ|า|ช่างดู|แคลน|ข้าศึก| |ปล่อยให้|พม่า|ราม|ัญ|มันรุก|มาถึง|เมือง|หน้า|ด่าน|สมุทรสาคร| |คาด|ไม่เกิน|ชั่ว|เคี้ยว|หมาก|แหลก|คงประชิด|ชาญ|พระนคร|เป็น|แน่|แท้| |พศ| |เสีย|กรุง|ครั้งที่|พระเจ้าบุ|เร|ง|นอง|ตี|กรุง|ศรีอยุธยา|แตก| |พศ| |เสีย|กรุง|ครั้งที่| |กรุง|ศรีอยุธยา|แตก|โดน|พม่า|เผา|เมือง| |พศ| |เพล|า|นี้|ชั่ว|เคี้ยว|หมาก|แหลก| |พม่า|ราม|ัญ|ตี|ป้อม|มหาชัย|แตก|ด้วย|โค|วิค|เพราะมีคนไทย|บางคน|ทรยศ|ต่อ|ชาติ|เปิดประตู|ต้อนรับ|ให้|พวก|พม่า|ราม|ัญ|ยกทัพ|ตร|า|ศึก|เข้า|พระราช|อาณาจักร|อย่าง|ผิดกฏหมาย|โดย|มิ|ผ่าน|การตรวจ|คัดกรอง|เพราะเห็น|แค่|อ|ัฐ|และ|เบี้ย|มากกว่า|สยาม|ประเทศ| |พวกเจ้า|ทั้งหลาย|จง|เตรียม|เจล| |แอลกอฮอล์| |สเปรย์| |หน้ากาก|อนามัย|ให้|ทันท่วงที| |เพื่อรับ|ศึก|ใหญ่|ที่กําลัง|จะมา|ในไม่ช้า|นี้|อย่าลืมใส่หน้ากาก|อนามัย|ก่อน|ออกไปจาก|บ้าน|กัน|นะครับ,,0,Nonhatespeech,Positive,,Others
แพร่ไปทั่ว? เอาแรงงานพม่ากลับไป ดูแลรักษาคนไทยก่อน? มัวแต่ช่วยมันคนไทยตายก่อน,แพร่|ไปทั่ว|เอาแรงงาน|พม่า|กลับไป| |ดูแลรักษา|คนไทย|ก่อน| |มัวแต่|ช่วย|มัน|คนไทย|ตาย|ก่อน,แพร่|ไปทั่ว|#เอาแรงงาน|#พม่า|#กลับไป| |ดูแลรักษา|คนไทย|ก่อน| |#มัวแต่|#ช่วย|#มัน|#คนไทย|#ตาย|#ก่อน,-1,Hatespeech,Negative,แพร่ ไปทั่ว #เอาแรงงาน #พม่า #กลับไป   ดูแลรักษา คนไทย ก่อน   #มัวแต่ #ช่วย #มัน #คนไทย #ตาย #ก่อน,Anger
วันก่อนบอสฉีกหน้าอัยการ วันนี้โควิดฉีกหน้าบ่อน พม่าฉีกหน้าค้ามนุษย์,วันก่อน|บอส|ฉีก|หน้า|อัยการ|วันนี้โค|วิด|ฉีก|หน้า|บ่อน| |พม่า|ฉีก|หน้า|ค้ามนุษย์,,0,Nonhatespeech,Positive,,Others
นี่ยังตรวจไม่หมดตายๆส่วนมากต่างด้าวทั้งนั้น##สงสารแพทย์พยาบาลทั้งสงสารตัวเองเซ็งๆ##พม่าเป็นเหตุสังเกตุได้,นี่ยัง|ตรวจ|ไม่หมด|ตาย|ๆ|ส่วนมาก|ต่างด้าว|ทั้งนั้น|สงสาร|แพทย์|พยาบาล|ทั้ง|สงสาร|ตัวเอง|เซ็ง|ๆ|พม่า|เป็นเหตุ|สังเกตุ|ได้,นี่ยัง|ตรวจ|ไม่หมด|ตาย|ๆ|ส่วนมาก|ต่างด้าว|ทั้งนั้น|สงสาร|แพทย์|พยาบาล|ทั้ง|สงสาร|ตัวเอง|เซ็ง|ๆ|#พม่า|#เป็นเหตุ|สังเกตุ|ได้,-1,Hatespeech,Negative,นี่ยัง ตรวจ ไม่หมด ตาย ๆ ส่วนมาก ต่างด้าว ทั้งนั้น สงสาร แพทย์ พยาบาล ทั้ง สงสาร ตัวเอง เซ็ง ๆ #พม่า #เป็นเหตุ สังเกตุ ได้,Anger
Nattawut Banjongjam เราเคยเม้นแค่ดูแลคนไทยให้ทั่วถึงด้วย แม้งเข้ามาว่าเราไร้มนุษย์ธรรมทั่งๆที่เราไม่เคยด่าพม่าสักคำ คนไทยเดี่ยวนี้แบ่งแยก น่าเกลียดมากด่ากันเองเพราะต่างชาติแค่ความคิดต่าง,เราเคย|เม้น|แค่|ดูแล|คนไทย|ให้|ทั่วถึง|ด้วย|แม้ง|เข้ามา|ว่าเรา|ไร้|มนุษย์|ธรรม|ทั่ง|ๆ|ที่|เราไม่เคย|ด่า|พม่า|สัก|คํา| |คนไทย|เดี่ยว|นี้|แบ่งแยก| |น่าเกลียด|มาก|ด่า|กันเอง|เพราะ|ต่างชาติ|แค่|ความคิด|ต่าง,,1,Nonhatespeech,Neutral,,trust
หนึ่ง บีอาร์โอ เขาพูดถึงที่ดินในรัฐยะไข่ค่ะ เป็นที่ ที่พวกเขาอยู่มานมนาน แต่เป็นเพราะใต้ดินมีทรัพยากรมากทั้งน้ำมันและแร่ รัฐบาลพม่าจึงมีความต้องการยึด เขาต้องการโอกาสที่จะเข้าถึงการศึกษา และสุขภาพเบื้องต้น (เช่น พวก วัคซีน) การช่วยเหลือ ในทุกๆวันนี้ ก็มาจาก นักสิทธิมนุษยชนค่ะ. พวกเขาทำงานหนัก และช่วยเหลือคนพวกนี้ เพราะความเป็นมนุษย์.,หนึ่ง| |บี|อาร์|โอ|เขาพูดถึง|ที่ดิน|ในรัฐ|ยะ|ไข่|ค่ะ| |เป็นที่| |ที่พวกเขา|อยู่|มา|นม|นาน|แต่เป็นเพราะ|ใต้ดิน|มี|ทรัพยากร|มาก|ทั้ง|น้ํามัน|และ|แร่| |รัฐบาลพม่า|จึงมีความ|ต้องการ|ยึด| |เขาต้องการ|โอกาสที่จะ|เข้าถึง|การศึกษา|และสุขภาพ|เบื้องต้น|การช่วยเหลือ| |ในทุกๆ|วันนี้|ก็มาจาก|นักสิ|ทธิมนุษยชน|ค่ะ|พวกเขาทํางานหนัก|และช่วยเหลือ|คนพวกนี้| |เพราะความ|เป็นมนุษย์,,1,Nonhatespeech,Neutral,,trust
@thestandardth -2112 เสียกรุงศรีอยุธยาให้พม่า เพราะทหารไทยสู้เขาไม่ได้ -2310 เสียกรุงศรีอยุธยาครั้งที่ 2 เพราะทหารไทยสมรู้ร่วมคิดกับศัตรูเปิดประตูเมืองให้พม่าเข้ามาเผาเมืองแลกกับอำนาจอยากไปปกครองหัวเมือง -2563 พม่าติดสินบนทหารไทยมาแพร่เชื้อโควิดทำลายเมืองมหาชัยสมุทรสาคร,เสีย|กรุง|ศรีอยุธยา|ให้|พม่า|เพราะทหารไทย|สู้|เขาไม่ได้| |เสีย|กรุง|ศรีอยุธยา|ครั้งที่|เพราะทหารไทย|สม|รู้|ร่วม|คิด|กับ|ศัตรู|เปิดประตู|เมือง|ให้|พม่า|เข้ามา|เผา|เมือง|แลกกับ|อํานาจ|อยากไป|ปกครอง|หัวเมือง| |พม่า|ติดสินบน|ทหารไทย|มา|แพร่|เชื้อ|โค|วิด|ทําลาย|เมือง|มหาชัย|สมุทรสาคร,,0,Nonhatespeech,Positive,,Anticipation
ให้มาแย่งงานคนไทยหรือไงถ้าไม่ใด้มาเมืองไทยคงอดตายมั้งบางคนก็มาเป็นขโมยสร้างความเดือดร้อนให้คนไทยยังไม่พออีกหรือพม่า,ให้มา|แย่ง|งาน|คนไทย|หรือไง|ถ้า|ไม่ใด้|มา|เมืองไทย|คง|อดตาย|มั้ง|บางคนก็|มาเป็น|ขโมย|สร้างความ|เดือดร้อน|ให้คนไทย|ยังไม่พอ|อีก|หรือ|พม่า,#ให้มา|#แย่ง|#งาน|#คนไทย|#หรือไง|ถ้า|ไม่ใด้|มา|เมืองไทย|คง|#อดตาย|มั้ง|บางคนก็|มาเป็น|#ขโมย|#สร้างความ|#เดือดร้อน|#ให้คนไทย|#ยังไม่พอ|#อีก|#หรือ|#พม่า,-1,Hatespeech,Negative,#ให้มา #แย่ง #งาน #คนไทย #หรือไง ถ้า ไม่ใด้ มา เมืองไทย คง #อดตาย มั้ง บางคนก็ มาเป็น #ขโมย #สร้างความ #เดือดร้อน #ให้คนไทย #ยังไม่พอ #อีก #หรือ #พม่า,Anger
แพร่จากคนไทยนั่นละ อย่าไปโทษพม่าเลย ลักพาเขามา และทิ้งเขา น่าสงสารนะ,แพร่|จาก|คนไทย|นั่น|ละ|อย่าไปโทษ|พม่า|เลย| |ลัก|พ|า|เขามา|และทิ้ง|เขา| |น่าสงสาร|นะ,,1,Nonhatespeech,Positive,,trust
คนไทยก้อเดือดร้อนหนักเหมือนกัน ไปประเทศอื่นมั้งเห็นไทยใจดีเลยมากันใหญ่เด่วก้อฆ่าคนไทยอีก กัอพม่าเห็นแก่ตัว,คนไทย|ก้อ|เดือดร้อน|หนัก|เหมือนกัน| |ไป|ประเทศอื่น|มั้ง|เห็น|ไทย|ใจดี|เลย|มา|กัน|ใหญ่|เด่ว|ก้อ|ฆ่า|คนไทย|อีก| |กั|อ|พม่า|เห็นแก่ตัว,#คนไทย|ก้อ|#เดือดร้อน|#หนัก|เหมือนกัน| |ไป|ประเทศอื่น|มั้ง|เห็น|ไทย|ใจดี|เลย|มา|กัน|ใหญ่|เดี๋ยว|ก็|#ฆ่า|#คนไทย|อีก| |กั|อ|#พม่า|#เห็นแก่ตัว,-1,Hatespeech,Negative,#คนไทย ก้อ #เดือดร้อน #หนัก เหมือนกัน   ไป ประเทศอื่น มั้ง เห็น ไทย ใจดี เลย มา กัน ใหญ่ เดี๋ยว ก็ #ฆ่า #คนไทย อีก   กั อ #พม่า #เห็นแก่ตัว,Anger
จะเอา โควิดมาเติมเหรอจ๊ะ แค่นี้ก็จะตายห่าละ,จะเอา| |โค|วิด|มา|เติม|เหรอ|จ๊ะ| |แค่นี้ก็|จะ|ตายห่า|ละ,จะ|#เอา|#โควิด|#มา|#เติม|เหรอ|จ๊ะ| |แค่นี้ก็|#จะ|#ตายห่า|#ละ,-1,Hatespeech,Negative,จะ #เอา #โควิด #มา #เติม เหรอ จ๊ะ   แค่นี้ก็ #จะ #ตายห่า #ละ,Anger
ใจเยนๆครับพี่น้อง พี่น้องชาวพม่าไม่ผิดหรอกพวกเขาก้อคนเหมือนกัน คนที่ผิดคือผู้ประกอบการที่รับแรงงานผิดกฏหมายและตำรวจก้อไม่จับแค่ไปรับส่วยก้อหนีมา ตอนนี่ห่วงคนไทยที่ทำงานนี่นั่นแล้วจะหนีโรคออกต่างจังหวัดและพาโรคไปติดที่อื่นอีก,ใจ|เยน|ๆ|ครับ|พี่น้อง| |พี่น้อง|ชาวพม่า|ไม่ผิด|หรอก|พวกเขา|ก้อ|คน|เหมือนกัน|คนที่ผิด|คือ|ผู้ประกอบ|การ|ที่รับ|แรงงาน|ผิดกฏหมาย|และตํารวจ|ก้อ|ไม่|จับ|แค่|ไปรับ|ส่วย|ก้อ|หนี|มา|ตอนนี่|ห่วง|คนไทย|ที่ทํางาน|นี่|นั่น|แล้วจะ|หนี|โรค|ออก|ต่าง|จังหวัด|และ|พ|า|โรค|ไป|ติด|ที่|อื่นอีก,,0,Nonhatespeech,Positive,,Others
